  0.450000 40	1600	  0.9954389	  0.9954397	  1.2414044	  1.2469917	  1.2779525	  1.2779527	  1.3224376	  1.3224378	
  0.500000 40	1600	  1.0461305	  1.0461312	  1.2920960	  1.2976833	  1.3286441	  1.3286443	  1.3731292	  1.3731294	
  0.550000 40	1600	  1.0876226	  1.0876233	  1.3335881	  1.3391754	  1.3701362	  1.3701364	  1.4146213	  1.4146215	
  0.600000 40	1600	  1.1222166	  1.1222174	  1.3681821	  1.3737694	  1.4047302	  1.4047304	  1.4492153	  1.4492155	
  0.050000 50	2500	 -2.1011547	 -2.1011539	 -1.8537247	 -1.8479979	 -1.8161569	 -1.8161566	 -1.7699487	 -1.7699485	
  0.100000 50	2500	 -0.2784107	 -0.2784100	 -0.0309807	 -0.0252539	  0.0065871	  0.0065873	  0.0527952	  0.0527954	
  0.150000 50	2500	  0.3291757	  0.3291765	  0.5766058	  0.5823325	  0.6141736	  0.6141738	  0.6603817	  0.6603819	
  0.200000 50	2500	  0.6329748	  0.6329756	  0.8804048	  0.8861316	  0.9179726	  0.9179728	  0.9641808	  0.9641810	
  0.250000 50	2500	  0.8152605	  0.8152612	  1.0626905	  1.0684173	  1.1002583	  1.1002585	  1.1464665	  1.1464667	
  0.300000 50	2500	  0.9367907	  0.9367915	  1.1842207	  1.1899475	  1.2217885	  1.2217887	  1.2679967	  1.2679969	
  0.350000 50	2500	  1.0236047	  1.0236055	  1.2710347	  1.2767615	  1.3086025	  1.3086027	  1.3548107	  1.3548109	
  0.400000 50	2500	  1.0887220	  1.0887227	  1.3361520	  1.3418788	  1.3737198	  1.3737200	  1.4199279	  1.4199282	
  0.450000 50	2500	  1.1393756	  1.1393764	  1.3868056	  1.3925324	  1.4243734	  1.4243737	  1.4705816	  1.4705818	
  0.500000 50	2500	  1.1799055	  1.1799063	  1.4273355	  1.4330623	  1.4649033	  1.4649036	  1.5111115	  1.5111117	
  0.550000 50	2500	  1.2130734	  1.2130742	  1.4605034	  1.4662302	  1.4980712	  1.4980714	  1.5442794	  1.5442796	
  0.600000 50	2500	  1.2407204	  1.2407212	  1.4881504	  1.4938772	  1.5257182	  1.5257184	  1.5719264	  1.5719266	
  0.050000 60	3600	 -1.4792793	 -1.4792785	 -1.2314392	 -1.2256766	 -1.1935398	 -1.1935395	 -1.1463098	 -1.1463096	
  0.100000 60	3600	  0.0396726	  0.0396734	  0.2875127	  0.2932753	  0.3254122	  0.3254124	  0.3726421	  0.3726423	
  0.150000 60	3600	  0.5459924	  0.5459932	  0.7938325	  0.7995951	  0.8317320	  0.8317322	  0.8789619	  0.8789621	
  0.200000 60	3600	  0.7991551	  0.7991559	  1.0469952	  1.0527578	  1.0848947	  1.0848949	  1.1321246	  1.1321248	
  0.250000 60	3600	  0.9510558	  0.9510565	  1.1988958	  1.2046584	  1.2367953	  1.2367955	  1.2840252	  1.2840254	
  0.300000 60	3600	  1.0523260	  1.0523267	  1.3001660	  1.3059286	  1.3380655	  1.3380657	  1.3852954	  1.3852956	
  0.350000 60	3600	  1.1246650	  1.1246658	  1.3725051	  1.3782677	  1.4104046	  1.4104048	  1.4576345	  1.4576347	
  0.400000 60	3600	  1.1789226	  1.1789234	  1.4267627	  1.4325253	  1.4646621	  1.4646624	  1.5118921	  1.5118923	
  0.450000 60	3600	  1.2211263	  1.2211271	  1.4689663	  1.4747289	  1.5068658	  1.5068660	  1.5540957	  1.5540960	
  0.500000 60	3600	  1.2548926	  1.2548934	  1.5027326	  1.5084952	  1.5406321	  1.5406323	  1.5878620	  1.5878623	
  0.550000 60	3600	  1.2825230	  1.2825237	  1.5303630	  1.5361256	  1.5682625	  1.5682627	  1.6154924	  1.6154926	
  0.600000 60	3600	  1.3055517	  1.3055525	  1.5533917	  1.5591544	  1.5912912	  1.5912914	  1.6385212	  1.6385214	
