  0.500000 50	2500	  3.3562914	  3.3721362	  3.8551220	  4.5822112	  4.5855032	  4.6702740	  4.9284310	  4.9304082	
  0.550000 50	2500	  3.3980198	  3.4138646	  3.8968504	  4.6239395	  4.6272316	  4.7120024	  4.9701594	  4.9721366	
  0.600000 50	2500	  3.4327949	  3.4486396	  3.9316254	  4.6587146	  4.6620067	  4.7467774	  5.0049344	  5.0069117	
  0.050000 60	3600	 -0.0687425	 -0.0527499	  0.4336024	  1.1568291	  1.1600802	  1.2448557	  1.5032176	  1.5051870	
  0.100000 60	3600	  1.8435638	  1.8595565	  2.3459087	  3.0691354	  3.0723866	  3.1571621	  3.4155239	  3.4174933	
  0.150000 60	3600	  2.4809998	  2.4969924	  2.9833446	  3.7065713	  3.7098225	  3.7945980	  4.0529599	  4.0549293	
  0.200000 60	3600	  2.7997183	  2.8157109	  3.3020632	  4.0252898	  4.0285410	  4.1133165	  4.3716784	  4.3736478	
  0.250000 60	3600	  2.9909500	  3.0069426	  3.4932949	  4.2165215	  4.2197727	  4.3045482	  4.5629101	  4.5648795	
  0.300000 60	3600	  3.1184384	  3.1344310	  3.6207833	  4.3440100	  4.3472611	  4.4320366	  4.6903985	  4.6923679	
  0.350000 60	3600	  3.2095022	  3.2254948	  3.7118471	  4.4350738	  4.4383249	  4.5231004	  4.7814623	  4.7834317	
  0.400000 60	3600	  3.2778007	  3.2937933	  3.7801455	  4.5033722	  4.5066234	  4.5913989	  4.8497608	  4.8517302	
  0.450000 60	3600	  3.3309224	  3.3469150	  3.8332672	  4.5564939	  4.5597451	  4.6445206	  4.9028825	  4.9048519	
  0.500000 60	3600	  3.3734204	  3.3894130	  3.8757653	  4.5989920	  4.6022431	  4.6870186	  4.9453805	  4.9473499	
  0.550000 60	3600	  3.4081922	  3.4241848	  3.9105370	  4.6337637	  4.6370149	  4.7217904	  4.9801523	  4.9821217	
  0.600000 60	3600	  3.4371693	  3.4531620	  3.9395142	  4.6627409	  4.6659921	  4.7507676	  5.0091294	  5.0110988	
  0.050000 70	4900	  0.4315776	  0.4477067	  0.9310804	  1.6579682	  1.6612058	  1.7460449	  2.0045576	  2.0065244	
  0.100000 70	4900	  2.0706972	  2.0868263	  2.5702000	  3.2970878	  3.3003254	  3.3851644	  3.6436772	  3.6456440	
  0.150000 70	4900	  2.6170707	  2.6331998	  3.1165735	  3.8434613	  3.8466989	  3.9315379	  4.1900507	  4.1920174	
  0.200000 70	4900	  2.8902577	  2.9063868	  3.3897605	  4.1166483	  4.1198859	  4.2047249	  4.4632377	  4.4652044	
  0.250000 70	4900	  3.0541702	  3.0702994	  3.5536731	  4.2805608	  4.2837985	  4.3686375	  4.6271502	  4.6291170	
  0.300000 70	4900	  3.1634456	  3.1795747	  3.6629484	  4.3898362	  4.3930738	  4.4779128	  4.7364256	  4.7383923	
  0.350000 70	4900	  3.2414998	  3.2576289	  3.7410026	  4.4678904	  4.4711280	  4.5559670	  4.8144797	  4.8164465	
  0.400000 70	4900	  3.3000407	  3.3161699	  3.7995436	  4.5264313	  4.5296690	  4.6145080	  4.8730207	  4.8749875	
